epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,65.4262,0.69317,1.04692,0.96469,0.97642,0,0.91176,0.73722,0.80876,0.51774,0.8263,0.60758,0.6857,0.28573,1.22694,1.76348,1.14945,1.35763,0,0.00091302,0.00091302,0.00091302
29,67.6342,0.67888,0.98712,0.91499,0.96211,0,0.89209,0.71889,0.82729,0.53655,0.92654,0.6428,0.73354,0.28943,1.15859,1.79771,1.10356,1.32798,0,0.000905687,0.000905687,0.000905687
30,69.8475,0.72341,1.0702,0.95598,1.00761,0,0.90327,0.75,0.82205,0.54266,0.87194,0.73738,0.76031,0.30861,1.0736,1.76788,1.09924,1.26869,0,0.000898355,0.000898355,0.000898355
31,72.1218,0.70495,1.04072,0.93805,0.98998,0,0.78249,0.72293,0.77651,0.50593,0.79595,0.72584,0.75115,0.30861,1.11989,1.72654,1.13762,1.29566,0,0.000891022,0.000891022,0.000891022
32,74.373,0.64667,0.98334,0.88757,0.96126,0,0.79867,0.66726,0.77218,0.49172,0.80327,0.65703,0.73913,0.28487,1.19423,1.83037,1.19611,1.35216,0,0.000883689,0.000883689,0.000883689
33,76.6063,0.69919,1.01956,0.91513,0.98562,0,0.80666,0.62383,0.77794,0.51509,0.82577,0.61181,0.72282,0.29026,1.14377,1.72313,1.16582,1.33604,0,0.000876357,0.000876357,0.000876357
34,78.834,0.6514,0.92282,0.85875,0.96862,0,0.75827,0.6264,0.77562,0.52525,0.77677,0.61509,0.70433,0.28903,1.09035,1.67184,1.14347,1.28304,0,0.000869024,0.000869024,0.000869024
35,81.0398,0.66551,1.02083,0.89256,0.97324,0,0.82058,0.69686,0.81804,0.52057,0.87638,0.59508,0.74066,0.28875,1.19023,1.74837,1.17424,1.33951,0,0.000861692,0.000861692,0.000861692
36,83.2869,0.68897,0.99579,0.90947,0.98333,0,0.81383,0.66598,0.81561,0.51737,0.94166,0.56006,0.72996,0.28611,1.1856,1.71363,1.14972,1.3278,0,0.000854359,0.000854359,0.000854359
37,85.5576,0.65592,0.99846,0.8739,0.95412,0,0.81756,0.6993,0.77552,0.51824,0.75732,0.61204,0.66881,0.28296,1.15158,1.67594,1.14304,1.27964,0,0.000847026,0.000847026,0.000847026
38,87.7716,0.68854,1.00212,0.88672,0.98178,0,0.84696,0.74,0.7614,0.50596,0.75642,0.61923,0.6839,0.28293,1.1767,1.72785,1.14748,1.31153,0,0.000839694,0.000839694,0.000839694
39,90.0151,0.6533,0.95281,0.81156,0.9862,0,0.71773,0.67094,0.71359,0.42112,0.81116,0.55034,0.63722,0.27493,1.24655,1.76329,1.20183,1.34575,0,0.000832361,0.000832361,0.000832361
40,92.1884,0.66666,0.98795,0.81767,0.97059,0,0.77119,0.72518,0.75733,0.44765,0.89006,0.53664,0.6473,0.28964,1.19103,1.80444,1.19245,1.32367,0,0.000825029,0.000825029,0.000825029
41,94.404,0.61918,0.87411,0.76933,0.96137,0,0.7423,0.72852,0.78086,0.48138,0.86305,0.52235,0.64396,0.28741,1.28039,1.90248,1.24565,1.37543,0,0.000817696,0.000817696,0.000817696
42,96.5898,0.63611,0.96356,0.80695,0.94822,0,0.78159,0.72622,0.7902,0.5201,0.82391,0.59088,0.6763,0.30975,1.19663,1.80294,1.1538,1.33992,0,0.000810363,0.000810363,0.000810363
43,98.812,0.64584,0.95028,0.79373,0.96655,0,0.89826,0.7932,0.83954,0.56559,0.82481,0.72279,0.7716,0.34781,1.16555,1.72812,1.05988,1.30369,0,0.000803031,0.000803031,0.000803031
44,101.037,0.65511,0.95515,0.77595,0.95978,0,0.85088,0.7934,0.83315,0.55372,0.88918,0.67019,0.76088,0.33615,1.16688,1.71314,1.01895,1.29557,0,0.000795698,0.000795698,0.000795698
45,103.288,0.62299,0.94535,0.76746,0.9575,0,0.74485,0.76533,0.79818,0.57055,0.78524,0.58816,0.62938,0.2786,1.03523,1.74097,1.03947,1.26172,0,0.000788366,0.000788366,0.000788366
46,105.534,0.6277,0.96246,0.74813,0.94614,0,0.87704,0.7126,0.80943,0.56747,0.79336,0.59364,0.67238,0.29155,1.0879,1.76583,1.04334,1.28558,0,0.000781033,0.000781033,0.000781033
47,107.714,0.60631,0.93213,0.73027,0.94565,0,0.86289,0.72641,0.84212,0.57929,0.8999,0.68119,0.7869,0.34811,1.05117,1.65941,0.99612,1.21236,0,0.0007737,0.0007737,0.0007737
48,109.929,0.60994,0.93562,0.74155,0.9367,0,0.80878,0.79713,0.82902,0.5545,0.90075,0.64469,0.75062,0.36379,1.09047,1.63001,1.01246,1.23341,0,0.000766368,0.000766368,0.000766368
49,112.172,0.60218,0.8943,0.70784,0.92704,0,0.70807,0.82362,0.80307,0.54487,0.90302,0.60321,0.73801,0.34083,1.07048,1.61538,1.03836,1.21952,0,0.000759035,0.000759035,0.000759035
50,114.379,0.62455,0.96833,0.73742,0.95158,0,0.77187,0.78429,0.79614,0.56456,0.81042,0.66438,0.7291,0.34747,1.04636,1.59904,1.02825,1.20345,0,0.000751703,0.000751703,0.000751703
51,116.625,0.62312,0.89687,0.73209,0.9567,0,0.8351,0.73114,0.7652,0.53075,0.86592,0.65471,0.72221,0.33947,1.03793,1.56525,1.0152,1.21937,0,0.00074437,0.00074437,0.00074437
52,118.783,0.57122,0.84358,0.6851,0.93332,0,0.8579,0.68339,0.79259,0.5586,0.88715,0.64755,0.73575,0.3529,1.02093,1.60092,1.00851,1.20118,0,0.000737037,0.000737037,0.000737037
53,120.976,0.57137,0.87586,0.69318,0.95053,0,0.79134,0.74776,0.81227,0.57576,0.87607,0.62611,0.76944,0.35803,0.95255,1.65867,0.95037,1.15254,0,0.000729705,0.000729705,0.000729705
54,123.145,0.57857,0.88053,0.68244,0.9295,0,0.8784,0.67512,0.81508,0.56172,0.83902,0.64474,0.75619,0.36077,0.94448,1.61997,0.93885,1.14768,0,0.000722372,0.000722372,0.000722372
55,125.323,0.57508,0.89124,0.66012,0.92924,0,0.83953,0.70272,0.80213,0.51972,0.90236,0.64107,0.74757,0.33972,1.09429,1.62773,0.92126,1.21862,0,0.00071504,0.00071504,0.00071504
56,127.534,0.57891,0.87951,0.65203,0.92159,0,0.82841,0.7199,0.78811,0.528,0.87572,0.64006,0.73491,0.33862,1.09189,1.65238,0.90814,1.22514,0,0.000707707,0.000707707,0.000707707
57,129.695,0.57852,0.85262,0.65971,0.92619,0,0.87246,0.71665,0.81485,0.55454,0.84696,0.64091,0.71343,0.32305,1.07035,1.77335,0.87992,1.21116,0,0.000700374,0.000700374,0.000700374
58,131.908,0.6025,0.88319,0.68925,0.92663,0,0.85475,0.75255,0.8267,0.54478,0.82647,0.69671,0.73838,0.3194,1.13379,1.7485,0.89314,1.26321,0,0.000693042,0.000693042,0.000693042
59,134.079,0.57825,0.89087,0.67537,0.92559,0,0.77314,0.77196,0.80824,0.54009,0.89383,0.56502,0.70479,0.32631,1.05774,1.66307,0.93823,1.23023,0,0.000685709,0.000685709,0.000685709
60,136.241,0.56339,0.88192,0.65321,0.93878,0,0.94712,0.65563,0.80401,0.52757,0.89573,0.60971,0.70277,0.32649,1.05842,1.64174,0.91968,1.2355,0,0.000678377,0.000678377,0.000678377
61,138.427,0.57537,0.89354,0.64703,0.93637,0,0.91681,0.66088,0.79387,0.53784,0.95837,0.54555,0.67004,0.33562,1.08289,1.64559,0.9384,1.23414,0,0.000671044,0.000671044,0.000671044
62,140.579,0.56526,0.88824,0.63612,0.93162,0,0.89709,0.66578,0.78587,0.54742,0.95914,0.53911,0.66452,0.32892,1.05973,1.6363,0.9411,1.22184,0,0.000663711,0.000663711,0.000663711
63,142.798,0.55422,0.85078,0.63497,0.92645,0,0.93168,0.63042,0.80628,0.56151,0.91559,0.57501,0.7221,0.3509,1.02568,1.59297,0.87354,1.20466,0,0.000656379,0.000656379,0.000656379
64,144.958,0.56209,0.89468,0.63749,0.91927,0,0.81271,0.72951,0.82009,0.56781,0.84488,0.57362,0.72995,0.35922,1.04438,1.53789,0.86893,1.21168,0,0.000649046,0.000649046,0.000649046
65,147.183,0.56494,0.86782,0.62365,0.91599,0,0.84341,0.68983,0.80245,0.5701,0.87588,0.66144,0.76704,0.37262,1.04511,1.54368,0.8952,1.229,0,0.000641714,0.000641714,0.000641714
