epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6932,1.09089,2.3446,1.35506,0.21857,0.52119,0.25022,0.12703,1.54121,6.72041,2.18976,0.000412138,0.000412138,0.000412138
2,81.1355,1.25787,1.81945,1.45002,0.2902,0.37593,0.20957,0.1017,1.91487,3.27021,2.35979,0.000820599,0.000820599,0.000820599
3,118.764,1.30311,1.82424,1.48787,0.23981,0.44981,0.25581,0.1304,1.81053,5.40409,2.44967,0.00122081,0.00122081,0.00122081
4,152.19,1.27629,1.72177,1.48601,0.36373,0.55295,0.38795,0.2445,1.25218,2.89221,1.75225,0.00121287,0.00121287,0.00121287
5,176.18,1.20652,1.61842,1.44896,0.44472,0.56479,0.47202,0.30826,1.11503,2.56715,1.48137,0.0012005,0.0012005,0.0012005
6,200.507,1.15201,1.54093,1.39612,0.36092,0.68693,0.50254,0.31787,1.22575,1.66111,1.63893,0.00118812,0.00118812,0.00118812
7,232.675,1.0861,1.47514,1.36123,0.48844,0.69568,0.56666,0.42428,0.90863,2.57063,1.37924,0.00117575,0.00117575,0.00117575
8,259.718,1.061,1.39366,1.32637,0.46377,0.7874,0.62042,0.44353,0.87362,1.34435,1.32107,0.00116337,0.00116337,0.00116337
9,289.482,1.00933,1.3369,1.29422,0.48975,0.75737,0.56709,0.43466,0.80723,1.58373,1.25129,0.001151,0.001151,0.001151
10,316.968,0.98557,1.29586,1.26853,0.49255,0.74918,0.63759,0.49441,0.78947,1.19415,1.23908,0.00113863,0.00113863,0.00113863
11,343.911,0.9406,1.2641,1.25812,0.6516,0.80499,0.67488,0.52889,0.73631,1.05317,1.20778,0.00112625,0.00112625,0.00112625
12,367.88,0.93182,1.22165,1.24085,0.67416,0.81672,0.68746,0.54746,0.67552,1.00584,1.1377,0.00111388,0.00111388,0.00111388
13,391.836,0.91632,1.21764,1.22917,0.57318,0.81014,0.72667,0.56291,0.69891,1.05958,1.15744,0.0011015,0.0011015,0.0011015
14,415.804,0.90478,1.19314,1.2422,0.49302,0.77117,0.62888,0.48278,0.84748,1.2742,1.28215,0.00108913,0.00108913,0.00108913
15,439.731,0.85696,1.14725,1.20288,0.58938,0.83987,0.71145,0.5721,0.69317,1.13742,1.1649,0.00107675,0.00107675,0.00107675
16,466.653,0.85995,1.13677,1.20436,0.58395,0.79057,0.69653,0.56979,0.65084,1.1979,1.11141,0.00106437,0.00106437,0.00106437
17,490.634,0.84107,1.13599,1.19826,0.61708,0.85914,0.73982,0.60824,0.61833,0.88014,1.09783,0.001052,0.001052,0.001052
