epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,104.79,0.65909,0.96244,0.60979,0.96295,0,0.77109,0.64475,0.75832,0.55554,0.81749,0.5227,0.62424,0.26445,1.05875,1.99861,1.22325,1.24472,0,0.000828008,0.000828008,0.000828008
29,108.261,0.63061,0.91137,0.56836,0.94124,0,0.78898,0.64286,0.74971,0.58514,0.75826,0.49954,0.59026,0.26889,0.96368,2.15909,1.18043,1.17821,0,0.000825008,0.000825008,0.000825008
30,111.749,0.67091,0.98889,0.62796,0.97701,0,0.67292,0.7219,0.75077,0.57462,0.6169,0.60028,0.60573,0.29036,0.93769,2.16162,1.07793,1.15505,0,0.000822009,0.000822009,0.000822009
31,115.211,0.65929,0.98182,0.59839,0.95972,0,0.69225,0.56735,0.70576,0.51295,0.60675,0.48177,0.53857,0.25033,0.97633,2.20891,1.19022,1.19809,0,0.000819009,0.000819009,0.000819009
32,118.818,0.62898,0.91626,0.5786,0.94691,0,0.82611,0.49405,0.70595,0.50455,0.76,0.43635,0.54252,0.26728,1.02502,2.20585,1.23559,1.23844,0,0.000816009,0.000816009,0.000816009
33,122.485,0.66131,0.93934,0.60479,0.96875,0,0.59488,0.6402,0.70266,0.51641,0.65364,0.4468,0.57912,0.28834,1.06704,2.08726,1.36792,1.28132,0,0.00081301,0.00081301,0.00081301
34,126.103,0.61207,0.85025,0.56428,0.95718,0,0.65594,0.65282,0.68069,0.49913,0.56535,0.53475,0.56234,0.28083,0.99612,2.03509,1.37133,1.21678,0,0.00081001,0.00081001,0.00081001
35,129.76,0.62725,0.95757,0.5837,0.9518,0,0.64582,0.76752,0.67968,0.4881,0.58305,0.63312,0.56059,0.27812,0.98985,2.09706,1.44834,1.19988,0,0.00080701,0.00080701,0.00080701
36,133.435,0.62496,0.91458,0.59458,0.95965,0,0.72136,0.56526,0.6737,0.50681,0.64698,0.45,0.53806,0.28708,0.97843,2.0263,1.36185,1.17297,0,0.00080401,0.00080401,0.00080401
37,136.987,0.62469,0.91438,0.57668,0.94719,0,0.67618,0.62002,0.6824,0.5241,0.68825,0.43069,0.53067,0.27955,0.96534,1.98373,1.12474,1.15014,0,0.000801011,0.000801011,0.000801011
38,140.428,0.65834,0.93148,0.59392,0.96991,0,0.73466,0.61676,0.73022,0.56082,0.76171,0.48495,0.58143,0.29655,0.94718,1.93375,1.02212,1.12707,0,0.000798011,0.000798011,0.000798011
39,143.943,0.60179,0.86757,0.52825,0.95419,0,0.81562,0.65904,0.80012,0.58557,0.78776,0.55615,0.66431,0.33323,0.94775,1.89372,0.96162,1.1464,0,0.000795011,0.000795011,0.000795011
40,147.438,0.62744,0.90941,0.5546,0.95884,0,0.83962,0.71537,0.81535,0.58554,0.76983,0.63738,0.66863,0.32567,1.02907,1.94673,1.04277,1.214,0,0.000792012,0.000792012,0.000792012
41,150.88,0.57866,0.7898,0.51212,0.94636,0,0.85162,0.61543,0.75985,0.54428,0.78785,0.54682,0.61033,0.30499,1.11746,1.95196,1.06775,1.31953,0,0.000789012,0.000789012,0.000789012
42,154.271,0.60114,0.88237,0.55114,0.93726,0,0.73095,0.68994,0.74313,0.52372,0.70685,0.53719,0.58229,0.28329,1.07221,2.0604,1.10102,1.28467,0,0.000786012,0.000786012,0.000786012
43,157.695,0.60887,0.87301,0.54297,0.95388,0,0.74143,0.64794,0.70505,0.51135,0.73435,0.46528,0.55594,0.2757,1.05714,2.0502,1.12305,1.21267,0,0.000783013,0.000783013,0.000783013
44,161.27,0.61129,0.88244,0.52177,0.9381,0,0.73665,0.60714,0.69455,0.50949,0.72288,0.46386,0.56768,0.27826,1.02562,2.00154,1.18292,1.20309,0,0.000780013,0.000780013,0.000780013
45,164.844,0.58232,0.84696,0.49908,0.93783,0,0.54757,0.65453,0.69361,0.5062,0.69799,0.47652,0.57549,0.26686,1.03323,2.13863,1.2078,1.21012,0,0.000777013,0.000777013,0.000777013
46,168.457,0.60849,0.87987,0.51302,0.93502,0,0.77761,0.5071,0.68236,0.50576,0.7183,0.46496,0.5859,0.27876,1.05398,2.06395,1.26015,1.21884,0,0.000774013,0.000774013,0.000774013
47,171.979,0.59671,0.8726,0.50439,0.93955,0,0.53968,0.67442,0.67449,0.52643,0.49236,0.59231,0.56583,0.28638,0.84166,1.90605,1.13068,1.09617,0,0.000771014,0.000771014,0.000771014
48,175.404,0.60412,0.88749,0.51044,0.93538,0,0.53076,0.71739,0.70049,0.54448,0.63564,0.51731,0.62625,0.29877,0.86294,1.92003,1.04207,1.10316,0,0.000768014,0.000768014,0.000768014
49,178.936,0.57574,0.83818,0.47822,0.91481,0,0.6978,0.65659,0.72235,0.56883,0.65582,0.5993,0.64607,0.31576,0.83801,1.87612,1.04289,1.08244,0,0.000765014,0.000765014,0.000765014
50,182.348,0.58827,0.92224,0.51532,0.94169,0,0.75583,0.64905,0.74383,0.57588,0.71929,0.60554,0.6811,0.33663,0.85259,1.81738,1.06267,1.08178,0,0.000762015,0.000762015,0.000762015
51,186.026,0.58919,0.84461,0.48826,0.93624,0,0.77081,0.50243,0.67241,0.52852,0.74236,0.44992,0.58882,0.30063,0.8799,1.88525,1.12212,1.12402,0,0.000759015,0.000759015,0.000759015
52,189.466,0.54967,0.80494,0.46806,0.92999,0,0.71344,0.52956,0.63189,0.47794,0.70715,0.47062,0.55112,0.28488,0.88424,1.88353,1.1638,1.13511,0,0.000756015,0.000756015,0.000756015
53,192.866,0.55791,0.80979,0.46458,0.94596,0,0.72179,0.52195,0.67245,0.49539,0.69814,0.48571,0.56487,0.31193,0.90836,1.88943,1.22515,1.13939,0,0.000753016,0.000753016,0.000753016
54,196.321,0.56634,0.84156,0.45999,0.9295,0,0.77307,0.54079,0.6389,0.49024,0.74799,0.50369,0.54371,0.31306,0.83868,1.95125,1.24782,1.08914,0,0.000750016,0.000750016,0.000750016
55,199.876,0.55738,0.83669,0.45958,0.92716,0,0.70498,0.58587,0.65027,0.49582,0.69755,0.51672,0.54067,0.2946,0.85775,2.06985,1.12996,1.06938,0,0.000747016,0.000747016,0.000747016
56,203.402,0.55749,0.81455,0.46103,0.91501,0,0.6166,0.65857,0.62986,0.48174,0.60392,0.51075,0.52386,0.28906,0.88355,2.0996,1.21955,1.08273,0,0.000744016,0.000744016,0.000744016
57,206.855,0.5605,0.79486,0.4517,0.92772,0,0.65634,0.57857,0.62911,0.49471,0.70546,0.41942,0.51572,0.27722,0.78982,2.19595,1.26063,1.03533,0,0.000741017,0.000741017,0.000741017
58,210.48,0.57942,0.83175,0.47334,0.9151,0,0.56171,0.6655,0.61838,0.48033,0.65753,0.42768,0.49803,0.27018,0.85394,2.2327,1.32815,1.06458,0,0.000738017,0.000738017,0.000738017
59,213.956,0.56301,0.83766,0.46405,0.91651,0,0.54176,0.61325,0.59561,0.45188,0.73926,0.42143,0.50856,0.27723,0.90642,2.00158,1.33131,1.10492,0,0.000735017,0.000735017,0.000735017
60,217.391,0.58346,0.82706,0.46489,0.94658,0,0.70717,0.45952,0.57057,0.44022,0.76445,0.42755,0.51066,0.26818,0.94493,2.01843,1.32244,1.11878,0,0.000732018,0.000732018,0.000732018
61,220.881,0.56704,0.83775,0.48038,0.93338,0,0.71303,0.47257,0.57024,0.43135,0.67547,0.4446,0.5126,0.25898,0.93284,2.04374,1.42523,1.13815,0,0.000729018,0.000729018,0.000729018
62,224.368,0.55424,0.84428,0.46245,0.93197,0,0.63514,0.53728,0.61041,0.45613,0.59667,0.50157,0.53969,0.27267,0.95374,1.9727,1.3864,1.15339,0,0.000726018,0.000726018,0.000726018
63,227.972,0.55762,0.81228,0.45163,0.93264,0,0.64448,0.68582,0.70889,0.54963,0.6128,0.63433,0.65372,0.33883,0.93529,1.7566,1.13525,1.14935,0,0.000723019,0.000723019,0.000723019
64,231.629,0.55957,0.85043,0.46353,0.91865,0,0.65137,0.70599,0.74809,0.58604,0.73404,0.57457,0.68665,0.36205,0.92034,1.74777,1.08631,1.15464,0,0.000720019,0.000720019,0.000720019
65,235.181,0.54371,0.81245,0.44439,0.92111,0,0.73152,0.67125,0.72821,0.56777,0.69404,0.63221,0.66332,0.34025,0.89343,1.9012,1.07899,1.14226,0,0.000717019,0.000717019,0.000717019
66,238.713,0.54293,0.78067,0.44267,0.92448,0,0.77989,0.60321,0.70268,0.54101,0.71733,0.52249,0.61308,0.31564,0.93889,1.9985,1.1512,1.1557,0,0.000714019,0.000714019,0.000714019
67,242.395,0.54365,0.75962,0.42934,0.9285,0,0.76827,0.67692,0.69946,0.54601,0.75166,0.46429,0.55379,0.30107,0.95756,1.98885,1.24966,1.20856,0,0.00071102,0.00071102,0.00071102
68,245.909,0.5448,0.78741,0.43811,0.92237,0,0.73141,0.68737,0.70097,0.54323,0.79024,0.47629,0.58391,0.3054,0.95732,1.99607,1.2661,1.21966,0,0.00070802,0.00070802,0.00070802
69,249.508,0.53861,0.79462,0.42906,0.91443,0,0.71678,0.6575,0.72769,0.55017,0.81078,0.46682,0.62547,0.32829,1.00895,1.99079,1.19366,1.22634,0,0.00070502,0.00070502,0.00070502
