epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7344,1.08628,2.75051,1.26441,0.48533,0.68344,0.52146,0.38517,0.84036,1.38544,1.0834,0.000412138,0.000412138,0.000412138
2,34.18,1.1757,1.76685,1.28726,0.22964,0.46943,0.27997,0.14685,1.20962,3.90773,1.47553,0.000820599,0.000820599,0.000820599
3,51.1489,1.17977,1.64186,1.29694,0.21335,0.43011,0.31074,0.20487,1.12928,3.01695,1.31521,0.00122081,0.00122081,0.00122081
4,67.4913,1.17665,1.61133,1.30389,0.43178,0.61855,0.43922,0.29172,1.05685,1.82616,1.26106,0.00121287,0.00121287,0.00121287
5,89.0279,1.14303,1.50849,1.27556,0.48359,0.6554,0.54283,0.39967,0.94437,1.94313,1.19045,0.0012005,0.0012005,0.0012005
6,109.379,1.05541,1.44025,1.24313,0.38557,0.75367,0.55377,0.40372,0.92068,3.05427,1.15792,0.00118812,0.00118812,0.00118812
7,129.583,1.02516,1.37987,1.21735,0.50076,0.71605,0.57585,0.41716,0.88027,1.26691,1.14823,0.00117575,0.00117575,0.00117575
8,149.307,0.99815,1.32182,1.1947,0.56215,0.78759,0.64053,0.47915,0.85647,1.13035,1.11837,0.00116337,0.00116337,0.00116337
9,168.965,0.96276,1.26924,1.18566,0.50201,0.79555,0.6823,0.53149,0.73955,1.15602,1.04911,0.001151,0.001151,0.001151
10,195.331,0.91409,1.22714,1.15474,0.56171,0.81171,0.65936,0.50035,0.77304,1.0718,1.08029,0.00113863,0.00113863,0.00113863
11,221.008,0.89553,1.21411,1.14933,0.59629,0.81683,0.69978,0.55963,0.67697,0.94688,1.01077,0.00112625,0.00112625,0.00112625
12,281.723,0.88675,1.19772,1.13862,0.64545,0.82141,0.69868,0.55269,0.71388,0.94735,1.02572,0.00111388,0.00111388,0.00111388
13,333.499,0.88954,1.19224,1.13681,0.56819,0.83435,0.70397,0.53491,0.72102,0.97446,1.05477,0.0011015,0.0011015,0.0011015
14,380.35,0.87335,1.16572,1.13562,0.64098,0.87665,0.71182,0.56401,0.6783,0.92679,1.01975,0.00108913,0.00108913,0.00108913
15,429.35,0.83349,1.11439,1.11522,0.47313,0.77142,0.64641,0.48935,0.8015,2.11355,1.12912,0.00107675,0.00107675,0.00107675
16,479.459,0.82913,1.10893,1.10967,0.60813,0.78715,0.72876,0.59222,0.64924,1.00009,1.01656,0.00106437,0.00106437,0.00106437
17,524.46,0.81502,1.08389,1.10636,0.64037,0.87472,0.73461,0.58629,0.64236,0.88983,1.01523,0.001052,0.001052,0.001052
18,570.031,0.79043,1.06018,1.09285,0.59076,0.79486,0.71137,0.58233,0.62665,1.06817,0.99283,0.00103962,0.00103962,0.00103962
19,622.514,0.81048,1.08039,1.10034,0.62788,0.816,0.79726,0.65397,0.65093,0.87395,1.00697,0.00102725,0.00102725,0.00102725
20,643.791,0.79193,1.06049,1.08965,0.67024,0.76726,0.7577,0.61636,0.63715,0.91481,1.00655,0.00101488,0.00101488,0.00101488
21,663.926,0.7774,1.02491,1.08731,0.68116,0.82323,0.74529,0.60444,0.61043,0.86476,0.99069,0.0010025,0.0010025,0.0010025
22,690.404,0.75512,1.01172,1.08044,0.72235,0.88455,0.79874,0.66543,0.58314,0.78908,0.96931,0.000990125,0.000990125,0.000990125
23,721.831,0.76209,1.01076,1.07956,0.65218,0.86861,0.79025,0.66495,0.57884,0.80469,0.9711,0.00097775,0.00097775,0.00097775
24,777.954,0.7466,0.9962,1.06787,0.60275,0.84202,0.77907,0.63572,0.59094,0.83907,0.97637,0.000965375,0.000965375,0.000965375
25,821.029,0.74438,0.97968,1.0646,0.69106,0.82891,0.77926,0.65215,0.60106,0.8136,0.9799,0.000953,0.000953,0.000953
26,864.511,0.72699,0.99555,1.05617,0.69501,0.84939,0.8023,0.6765,0.55195,0.76672,0.94841,0.000940625,0.000940625,0.000940625
27,908.513,0.71381,0.95533,1.05171,0.39633,0.6319,0.51309,0.37468,1.09911,3.19332,1.43795,0.00092825,0.00092825,0.00092825
28,954.666,0.71889,0.97397,1.05658,0.7078,0.84514,0.82078,0.68237,0.5752,0.76774,0.95747,0.000915875,0.000915875,0.000915875
29,997.523,0.7003,0.94468,1.04018,0.68695,0.85318,0.79907,0.66391,0.54875,0.78209,0.94324,0.0009035,0.0009035,0.0009035
30,1041.06,0.70514,0.93472,1.04092,0.4608,0.80159,0.67924,0.53759,0.68295,1.40147,1.04802,0.000891125,0.000891125,0.000891125
31,1080.84,0.6933,0.92574,1.03011,0.70227,0.85004,0.83149,0.71496,0.54432,0.79775,0.94004,0.00087875,0.00087875,0.00087875
32,1102.19,0.67112,0.90732,1.02792,0.71535,0.87043,0.84848,0.7323,0.5149,0.7283,0.93099,0.000866375,0.000866375,0.000866375
33,1122.27,0.67592,0.87918,1.02222,0.75092,0.85035,0.8854,0.75791,0.52748,0.73109,0.93721,0.000854,0.000854,0.000854
34,1142.51,0.6965,0.89598,1.03111,0.78078,0.84359,0.87535,0.75554,0.51688,0.68687,0.93463,0.000841625,0.000841625,0.000841625
35,1162.69,0.68976,0.89314,1.03467,0.71453,0.82378,0.81033,0.69137,0.56531,0.77285,0.95776,0.00082925,0.00082925,0.00082925
36,1179.29,0.66017,0.88451,1.02101,0.76516,0.87001,0.8714,0.75514,0.49734,0.65558,0.92459,0.000816875,0.000816875,0.000816875
37,1193.93,0.65049,0.8396,1.01513,0.73887,0.80264,0.84823,0.7341,0.51135,0.83574,0.91563,0.0008045,0.0008045,0.0008045
38,1208.96,0.6478,0.84243,1.01021,0.77516,0.84832,0.88021,0.75921,0.51372,0.68295,0.93807,0.000792125,0.000792125,0.000792125
39,1224.3,0.64593,0.82981,1.01015,0.82486,0.88834,0.92519,0.81836,0.4837,0.58713,0.91756,0.00077975,0.00077975,0.00077975
