epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,16361,0.18085,0.36905,0.11497,0.95382,0.95621,0.97402,0.91722,0.09551,0.21457,0.07017,0.000742625,0.000742625,0.000742625
43,16418.6,0.1765,0.37044,0.11387,0.92882,0.92609,0.94397,0.89346,0.09395,0.2588,0.06915,0.00073025,0.00073025,0.00073025
44,16475.7,0.17763,0.38964,0.11747,0.96846,0.96959,0.97927,0.9219,0.09911,0.20271,0.07277,0.000717875,0.000717875,0.000717875
45,16532.4,0.18225,0.38728,0.11753,0.97679,0.97098,0.97755,0.92381,0.09733,0.20686,0.07345,0.0007055,0.0007055,0.0007055
46,16589.2,0.17594,0.37357,0.1114,0.96661,0.9734,0.97872,0.92202,0.10123,0.19304,0.07463,0.000693125,0.000693125,0.000693125
47,16646.5,0.17555,0.37979,0.11538,0.96556,0.96583,0.96815,0.91284,0.10047,0.20791,0.07518,0.00068075,0.00068075,0.00068075
48,16702.9,0.1754,0.3727,0.11328,0.98011,0.96494,0.98064,0.92285,0.09409,0.20744,0.06978,0.000668375,0.000668375,0.000668375
49,16759.4,0.17314,0.35536,0.10816,0.95893,0.93325,0.96146,0.90977,0.09433,0.22854,0.0676,0.000656,0.000656,0.000656
50,16816,0.17499,0.36055,0.1125,0.96714,0.96728,0.98016,0.92877,0.09085,0.20319,0.06591,0.000643625,0.000643625,0.000643625
51,16872.3,0.16636,0.35913,0.10388,0.9709,0.96383,0.9756,0.92428,0.09219,0.20324,0.0671,0.00063125,0.00063125,0.00063125
52,16928.3,0.16529,0.36798,0.10618,0.97978,0.97024,0.98448,0.93784,0.08573,0.18389,0.06226,0.000618875,0.000618875,0.000618875
53,16985.4,0.17063,0.36064,0.10893,0.97999,0.9679,0.9871,0.93451,0.09228,0.19448,0.06898,0.0006065,0.0006065,0.0006065
54,17042,0.17091,0.34247,0.10719,0.97397,0.9632,0.97596,0.92065,0.09437,0.20172,0.06956,0.000594125,0.000594125,0.000594125
55,17099.2,0.16247,0.32794,0.10166,0.97339,0.9686,0.97929,0.92474,0.0924,0.19458,0.06668,0.00058175,0.00058175,0.00058175
56,17156.7,0.1625,0.34187,0.10339,0.95689,0.94514,0.97074,0.92307,0.08827,0.21577,0.06232,0.000569375,0.000569375,0.000569375
57,17213.5,0.161,0.32086,0.10455,0.97209,0.97338,0.98532,0.93942,0.08264,0.18226,0.05684,0.000557,0.000557,0.000557
58,17270,0.15965,0.31855,0.09864,0.98359,0.95861,0.9754,0.92679,0.08743,0.18907,0.06038,0.000544625,0.000544625,0.000544625
59,17327.9,0.16295,0.32742,0.10289,0.96714,0.97693,0.98189,0.92729,0.09227,0.18806,0.06506,0.00053225,0.00053225,0.00053225
60,17385.1,0.15735,0.31317,0.10176,0.98696,0.97683,0.99114,0.94126,0.08344,0.17185,0.05994,0.000519875,0.000519875,0.000519875
61,17443.1,0.15466,0.31112,0.0984,0.98474,0.97897,0.98487,0.93858,0.08353,0.18135,0.05664,0.0005075,0.0005075,0.0005075
62,17500.3,0.15395,0.31305,0.09898,0.9791,0.97234,0.98534,0.93766,0.0835,0.17796,0.05791,0.000495125,0.000495125,0.000495125
63,17557.5,0.15552,0.30808,0.09979,0.9847,0.97504,0.98988,0.9421,0.08532,0.16725,0.05961,0.00048275,0.00048275,0.00048275
64,17614.2,0.15465,0.30002,0.09504,0.97693,0.97601,0.98108,0.93323,0.08497,0.17461,0.05864,0.000470375,0.000470375,0.000470375
65,17671.2,0.15336,0.30715,0.09751,0.97776,0.97956,0.98652,0.93497,0.09191,0.17371,0.06844,0.000458,0.000458,0.000458
66,17728.4,0.15121,0.29975,0.09661,0.97439,0.98019,0.98518,0.93598,0.08942,0.17212,0.0637,0.000445625,0.000445625,0.000445625
67,17785.5,0.14928,0.30249,0.09478,0.98835,0.98299,0.99017,0.93997,0.08591,0.16707,0.06131,0.00043325,0.00043325,0.00043325
68,17842.5,0.14728,0.28579,0.08991,0.96839,0.96561,0.97958,0.93488,0.08288,0.18759,0.05842,0.000420875,0.000420875,0.000420875
69,17899.6,0.14615,0.29247,0.08879,0.97389,0.96297,0.98176,0.93033,0.09157,0.18036,0.0667,0.0004085,0.0004085,0.0004085
70,17955.8,0.14846,0.29193,0.09213,0.9781,0.96411,0.97832,0.93445,0.08341,0.17958,0.05789,0.000396125,0.000396125,0.000396125
71,18012.1,0.14672,0.30615,0.0936,0.97606,0.97144,0.98483,0.93368,0.08645,0.17976,0.06009,0.00038375,0.00038375,0.00038375
72,18069.6,0.14363,0.28949,0.0894,0.97776,0.97782,0.98245,0.93903,0.08376,0.17729,0.05676,0.000371375,0.000371375,0.000371375
73,18126.5,0.14277,0.29415,0.08928,0.98296,0.97364,0.98627,0.94515,0.0836,0.16607,0.05705,0.000359,0.000359,0.000359
74,18184.5,0.1401,0.28982,0.08773,0.97598,0.96447,0.97664,0.93187,0.08321,0.18057,0.05688,0.000346625,0.000346625,0.000346625
75,18241.6,0.13792,0.28366,0.09013,0.98194,0.96833,0.98038,0.93568,0.08541,0.19093,0.06091,0.00033425,0.00033425,0.00033425
76,18298.3,0.14119,0.27573,0.08615,0.98574,0.9802,0.98742,0.94548,0.08081,0.16246,0.0566,0.000321875,0.000321875,0.000321875
77,18354.7,0.14392,0.28394,0.08787,0.98054,0.97745,0.98612,0.94184,0.07974,0.17139,0.05502,0.0003095,0.0003095,0.0003095
78,18412.1,0.14275,0.27618,0.08877,0.98689,0.97459,0.98854,0.94639,0.0817,0.16573,0.05755,0.000297125,0.000297125,0.000297125
79,18469.2,0.13676,0.26701,0.08512,0.99022,0.98196,0.98827,0.94938,0.07794,0.16239,0.05433,0.00028475,0.00028475,0.00028475
80,18526.7,0.13572,0.27294,0.08447,0.98959,0.98175,0.98486,0.94433,0.07915,0.1687,0.05406,0.000272375,0.000272375,0.000272375
81,18583.1,0.13726,0.26727,0.08577,0.97988,0.9824,0.98583,0.94026,0.08399,0.16838,0.06,0.00026,0.00026,0.00026
82,18639.8,0.13698,0.26848,0.08687,0.98648,0.96758,0.98393,0.9368,0.08445,0.17059,0.05851,0.000247625,0.000247625,0.000247625
83,18695.7,0.13234,0.26054,0.08396,0.97352,0.97144,0.98536,0.93942,0.08117,0.18011,0.05767,0.00023525,0.00023525,0.00023525
84,18752.5,0.13436,0.27143,0.08628,0.98382,0.973,0.98079,0.94068,0.0815,0.17746,0.05558,0.000222875,0.000222875,0.000222875
85,18809.5,0.13453,0.26019,0.08414,0.98988,0.9774,0.98976,0.94453,0.08237,0.16429,0.05547,0.0002105,0.0002105,0.0002105
86,18866.8,0.13617,0.25613,0.08362,0.98861,0.9734,0.98579,0.94462,0.07978,0.17031,0.0538,0.000198125,0.000198125,0.000198125
87,18923.7,0.132,0.25434,0.08103,0.98137,0.98386,0.98801,0.94626,0.07779,0.17113,0.05213,0.00018575,0.00018575,0.00018575
88,18980.6,0.13013,0.25584,0.08058,0.98581,0.98095,0.9889,0.94869,0.07943,0.16494,0.05271,0.000173375,0.000173375,0.000173375
89,19036.4,0.12642,0.23628,0.07952,0.98969,0.97891,0.98648,0.94439,0.07778,0.16918,0.05242,0.000161,0.000161,0.000161
90,19092.5,0.12491,0.24291,0.07811,0.99172,0.98281,0.98703,0.94795,0.08051,0.1611,0.05361,0.000148625,0.000148625,0.000148625
91,19175.3,0.06037,0.13416,0.0432,0.97974,0.96199,0.97685,0.93497,0.08053,0.18555,0.05431,0.00013625,0.00013625,0.00013625
92,19232.3,0.06051,0.12886,0.04537,0.98913,0.97697,0.98338,0.94352,0.07983,0.16557,0.0529,0.000123875,0.000123875,0.000123875
93,19289.2,0.05792,0.12456,0.04165,0.98018,0.97748,0.98425,0.94435,0.07951,0.17221,0.05238,0.0001115,0.0001115,0.0001115
94,19346,0.05781,0.12501,0.04172,0.98677,0.97738,0.98808,0.94854,0.07824,0.16439,0.05357,9.9125e-05,9.9125e-05,9.9125e-05
95,19402.1,0.05677,0.12214,0.0406,0.9868,0.97896,0.99125,0.95197,0.07794,0.16555,0.05295,8.675e-05,8.675e-05,8.675e-05
96,19458.1,0.05458,0.12084,0.03936,0.99089,0.97853,0.98869,0.9498,0.07738,0.16309,0.05102,7.4375e-05,7.4375e-05,7.4375e-05
97,19515.2,0.05643,0.12024,0.03972,0.99116,0.97851,0.99126,0.95175,0.07605,0.1634,0.04905,6.2e-05,6.2e-05,6.2e-05
98,19573.9,0.0569,0.12052,0.04131,0.99031,0.97751,0.98769,0.94729,0.07829,0.15984,0.05129,4.9625e-05,4.9625e-05,4.9625e-05
99,19632.3,0.05394,0.11871,0.03801,0.98681,0.97889,0.99237,0.95059,0.0769,0.15771,0.05061,3.725e-05,3.725e-05,3.725e-05
100,19688.9,0.0545,0.1165,0.03875,0.98559,0.97834,0.99068,0.94899,0.07636,0.1561,0.05056,2.4875e-05,2.4875e-05,2.4875e-05
