epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7976,1.26475,2.72973,1.56482,0.3184,0.28845,0.17974,0.09579,1.56049,4.61918,2.13976,0.000414966,0.000414966,0.000414966
2,132.237,1.56228,2.42235,1.78506,0.25716,0.39256,0.20704,0.12002,1.58409,4.72084,1.90436,0.000823399,0.000823399,0.000823399
3,195.975,1.55152,2.31811,1.78872,0.26002,0.45943,0.19939,0.11318,1.47069,3.3504,1.79773,0.00122358,0.00122358,0.00122358
4,259.334,1.40808,2.1217,1.6708,0.23849,0.43758,0.2588,0.16378,1.10137,3.0909,1.44457,0.00121287,0.00121287,0.00121287
5,322.629,1.32972,1.99727,1.62238,0.39894,0.60777,0.37646,0.25899,1.13402,2.15461,1.49645,0.0012005,0.0012005,0.0012005
6,386.128,1.27975,1.88847,1.58709,0.44637,0.678,0.45382,0.32502,1.00093,1.56474,1.35719,0.00118812,0.00118812,0.00118812
7,449.548,1.19767,1.76958,1.52094,0.47219,0.73525,0.47197,0.34188,0.9344,1.39308,1.29776,0.00117575,0.00117575,0.00117575
8,512.986,1.14122,1.66937,1.4786,0.38485,0.60461,0.42504,0.27884,1.16582,1.6837,1.56463,0.00116337,0.00116337,0.00116337
9,576.245,1.09996,1.58126,1.46056,0.45612,0.59052,0.47096,0.31586,1.06548,1.75423,1.4815,0.001151,0.001151,0.001151
10,639.75,1.05718,1.53224,1.41794,0.54688,0.76626,0.57131,0.4333,0.80324,1.22601,1.23191,0.00113863,0.00113863,0.00113863
11,702.989,1.04809,1.51695,1.42778,0.50441,0.74763,0.62249,0.4857,0.76786,1.20311,1.17969,0.00112625,0.00112625,0.00112625
12,766.556,1.00542,1.44796,1.37438,0.5586,0.79298,0.61045,0.45999,0.76276,1.1443,1.21933,0.00111388,0.00111388,0.00111388
13,829.947,0.99132,1.42367,1.37351,0.5691,0.7838,0.61919,0.47044,0.72989,1.09834,1.16143,0.0011015,0.0011015,0.0011015
14,893.404,0.9757,1.42603,1.3577,0.59713,0.773,0.63176,0.49884,0.71778,1.03846,1.15581,0.00108913,0.00108913,0.00108913
15,956.771,0.92623,1.33129,1.3216,0.60594,0.83451,0.65003,0.49929,0.69154,1.03979,1.12251,0.00107675,0.00107675,0.00107675
16,1020.32,0.95374,1.35085,1.33215,0.61457,0.82564,0.66986,0.53864,0.63174,0.95028,1.08722,0.00106437,0.00106437,0.00106437
17,1083.63,0.87752,1.2888,1.27844,0.62709,0.83373,0.67368,0.5331,0.65298,0.93521,1.10959,0.001052,0.001052,0.001052
18,1147.25,0.89249,1.28051,1.28949,0.6119,0.87027,0.699,0.55704,0.64494,0.95939,1.11487,0.00103962,0.00103962,0.00103962
19,1210.8,0.88871,1.27186,1.29671,0.46745,0.8002,0.59813,0.48299,0.6537,2.01415,1.12009,0.00102725,0.00102725,0.00102725
20,1274.16,0.8553,1.22237,1.26669,0.65828,0.8086,0.68331,0.54685,0.63868,0.95518,1.0934,0.00101488,0.00101488,0.00101488
21,1337.42,0.83747,1.21133,1.2453,0.6281,0.84422,0.69683,0.57529,0.59712,0.93848,1.08263,0.0010025,0.0010025,0.0010025
22,1400.8,0.82109,1.17251,1.24757,0.68957,0.86497,0.77168,0.63997,0.60776,0.84683,1.08619,0.000990125,0.000990125,0.000990125
