epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,59.223,0.71021,1.04061,1.09241,1.02617,0,0.68599,0.49711,0.62816,0.45393,0.66363,0.46639,0.58288,0.23797,1.00286,1.92467,1.52645,1.21658,0,0.000747016,0.000747016,0.000747016
29,61.2385,0.71086,1.03024,1.0467,1.00802,0,0.57127,0.55468,0.61157,0.43675,0.72432,0.41742,0.58453,0.24626,1.09098,1.89926,1.54527,1.23835,0,0.000741017,0.000741017,0.000741017
30,63.2984,0.69937,1.04687,1.01851,1.01903,0,0.5267,0.63948,0.63494,0.45688,0.52404,0.63215,0.62479,0.27895,1.01838,1.82629,1.48166,1.22135,0,0.000735017,0.000735017,0.000735017
31,65.3865,0.66004,0.95272,0.94984,0.96905,0,0.52723,0.66714,0.65058,0.46857,0.52288,0.66053,0.64031,0.29005,1.0127,1.85163,1.47869,1.22674,0,0.000729018,0.000729018,0.000729018
32,67.3993,0.68985,1.05311,1.01079,0.98399,0,0.55817,0.6813,0.6344,0.46391,0.55619,0.67318,0.62695,0.30029,1.04772,1.7265,1.48499,1.24916,0,0.000723019,0.000723019,0.000723019
33,69.5369,0.65225,0.96721,0.97206,0.98199,0,0.54238,0.65673,0.60931,0.44612,0.53276,0.64503,0.59116,0.28088,1.05018,1.6971,1.54982,1.25566,0,0.000717019,0.000717019,0.000717019
34,71.6041,0.66047,0.99872,0.9485,0.97943,0,0.7129,0.46716,0.64249,0.47462,0.68624,0.43901,0.57285,0.26988,1.01181,1.76136,1.57608,1.22579,0,0.00071102,0.00071102,0.00071102
35,73.749,0.65469,0.97165,0.92609,0.97029,0,0.74015,0.50194,0.62861,0.47371,0.66667,0.40863,0.50899,0.27139,0.94734,1.76958,1.52828,1.18442,0,0.00070502,0.00070502,0.00070502
36,75.8534,0.66348,0.97717,0.94211,1.00082,0,0.72362,0.43668,0.61585,0.46306,0.67807,0.40844,0.5386,0.28156,0.9878,1.74895,1.49682,1.20835,0,0.000699021,0.000699021,0.000699021
37,77.9152,0.65418,0.99017,0.95539,0.9998,0,0.73749,0.43796,0.60801,0.43756,0.69796,0.39516,0.53179,0.26892,1.14027,1.82565,1.53285,1.28239,0,0.000693022,0.000693022,0.000693022
38,80.0557,0.64186,0.95948,0.89928,0.97444,0,0.53055,0.5443,0.58167,0.44277,0.49323,0.52111,0.52167,0.27715,1.01199,1.72708,1.55158,1.1886,0,0.000687022,0.000687022,0.000687022
39,82.1998,0.68736,0.98523,0.89467,1.00769,0,0.56288,0.58434,0.59732,0.44926,0.52766,0.53594,0.54123,0.28218,1.03419,1.74678,1.51643,1.20217,0,0.000681023,0.000681023,0.000681023
40,84.227,0.6456,0.94874,0.86225,0.96564,0,0.62081,0.6342,0.62449,0.46507,0.58056,0.58446,0.56743,0.27907,1.09105,1.79355,1.4904,1.25048,0,0.000675023,0.000675023,0.000675023
41,86.2706,0.65517,0.98011,0.93001,1.00344,0,0.66695,0.61616,0.63733,0.4846,0.67663,0.57441,0.58941,0.29334,1.05217,1.73271,1.46788,1.22953,0,0.000669024,0.000669024,0.000669024
42,88.4017,0.65448,0.97538,0.85902,0.97606,0,0.63242,0.65369,0.63347,0.46748,0.60317,0.61313,0.58485,0.29767,1.04001,1.63382,1.48905,1.21092,0,0.000663025,0.000663025,0.000663025
43,90.41,0.66194,0.99635,0.89459,1.00556,0,0.66427,0.63882,0.65838,0.47658,0.64811,0.59909,0.61036,0.29027,1.08517,1.73464,1.48019,1.24175,0,0.000657025,0.000657025,0.000657025
44,92.3958,0.60271,0.87126,0.82006,0.96444,0,0.61416,0.69323,0.7004,0.50137,0.65414,0.55921,0.63319,0.30828,1.05846,1.7822,1.4051,1.24765,0,0.000651026,0.000651026,0.000651026
45,94.4446,0.62231,0.96228,0.82599,0.95075,0,0.61029,0.73711,0.72235,0.52967,0.67163,0.54184,0.64154,0.32018,1.00613,1.80421,1.29885,1.2273,0,0.000645026,0.000645026,0.000645026
46,96.5434,0.64097,0.93606,0.85094,0.99855,0,0.66269,0.68005,0.703,0.51677,0.62768,0.62291,0.63957,0.31457,1.02792,1.74913,1.26146,1.22716,0,0.000639027,0.000639027,0.000639027
47,98.5728,0.57668,0.88821,0.81993,0.99891,0,0.65504,0.66891,0.69552,0.4964,0.62441,0.61938,0.63468,0.30904,1.05525,1.70102,1.32474,1.24288,0,0.000633028,0.000633028,0.000633028
48,100.626,0.59512,0.91146,0.81484,0.96923,0,0.67872,0.6563,0.68681,0.49884,0.6488,0.63007,0.62555,0.31214,1.00234,1.76318,1.33601,1.20946,0,0.000627028,0.000627028,0.000627028
49,102.659,0.60497,0.92221,0.82594,0.96881,0,0.66381,0.62483,0.6856,0.50936,0.61487,0.58806,0.61695,0.32057,0.96887,1.81524,1.32422,1.19009,0,0.000621029,0.000621029,0.000621029
50,104.8,0.61651,0.91666,0.83302,0.97104,0,0.68423,0.59564,0.64642,0.47829,0.70676,0.4906,0.5692,0.29357,1.04609,1.72761,1.47924,1.19359,0,0.000615029,0.000615029,0.000615029
51,106.938,0.57959,0.89171,0.77408,0.94504,0,0.68149,0.60241,0.63404,0.46626,0.65278,0.53449,0.55868,0.28337,1.10512,1.66754,1.51018,1.22121,0,0.00060903,0.00060903,0.00060903
52,109.08,0.61268,0.90076,0.79704,0.95729,0,0.68342,0.60921,0.63353,0.46998,0.65351,0.57688,0.5701,0.28635,1.08051,1.66115,1.48695,1.20721,0,0.000603031,0.000603031,0.000603031
53,111.159,0.60141,0.87023,0.78376,0.95562,0,0.66392,0.65729,0.65589,0.49326,0.63607,0.62699,0.59953,0.30006,1.01179,1.66105,1.39679,1.18421,0,0.000597031,0.000597031,0.000597031
54,113.298,0.5753,0.86327,0.75825,0.94932,0,0.76178,0.47143,0.67048,0.52215,0.76178,0.47143,0.64202,0.33324,0.95649,1.63704,1.29123,1.18696,0,0.000591032,0.000591032,0.000591032
55,115.407,0.60477,0.901,0.76899,0.95393,0,0.76814,0.47366,0.66846,0.52259,0.76814,0.47366,0.63818,0.32781,0.97472,1.58797,1.29348,1.19171,0,0.000585032,0.000585032,0.000585032
56,117.468,0.59148,0.93019,0.75688,0.94414,0,0.67509,0.52857,0.66962,0.51965,0.66934,0.52143,0.63252,0.31937,0.97387,1.56732,1.2946,1.18258,0,0.000579033,0.000579033,0.000579033
57,119.53,0.58506,0.8892,0.74528,0.95224,0,0.79277,0.44183,0.65372,0.51559,0.6435,0.51429,0.61241,0.30958,0.95014,1.56894,1.29132,1.17339,0,0.000573034,0.000573034,0.000573034
58,121.576,0.58777,0.91213,0.74162,0.95729,0,0.58076,0.60636,0.69025,0.54323,0.78489,0.44441,0.63502,0.32476,0.93206,1.56446,1.28467,1.16283,0,0.000567034,0.000567034,0.000567034
59,123.734,0.58055,0.89748,0.72769,0.93271,0,0.60482,0.61819,0.70953,0.55044,0.88324,0.43886,0.65291,0.33098,0.92571,1.55678,1.25267,1.14639,0,0.000561035,0.000561035,0.000561035
60,125.804,0.56751,0.85559,0.73286,0.94967,0,0.73371,0.53514,0.70505,0.53039,0.70871,0.5104,0.65,0.31515,0.9452,1.54579,1.22644,1.15229,0,0.000555035,0.000555035,0.000555035
61,127.813,0.5951,0.86862,0.71921,0.96014,0,0.57933,0.64049,0.69598,0.5182,0.55701,0.61045,0.64566,0.31424,0.95228,1.53205,1.2217,1.16554,0,0.000549036,0.000549036,0.000549036
62,129.898,0.59664,0.88157,0.73817,0.94191,0,0.57569,0.68505,0.70615,0.53526,0.61467,0.60796,0.67027,0.31685,0.92187,1.56846,1.25039,1.15449,0,0.000543037,0.000543037,0.000543037
63,131.909,0.57497,0.86853,0.74028,0.96782,0,0.7292,0.53982,0.69877,0.53903,0.71696,0.51762,0.66242,0.32463,0.95219,1.57486,1.31323,1.17069,0,0.000537037,0.000537037,0.000537037
64,133.906,0.56201,0.86002,0.7156,0.94598,0,0.71225,0.56454,0.68655,0.52442,0.68883,0.52883,0.64438,0.32146,0.96107,1.56777,1.3951,1.17673,0,0.000531038,0.000531038,0.000531038
65,135.953,0.58295,0.86794,0.72839,0.94925,0,0.65825,0.59668,0.66137,0.50717,0.64402,0.5669,0.62749,0.31437,0.94703,1.57402,1.4437,1.16609,0,0.000525038,0.000525038,0.000525038
66,137.945,0.58527,0.89366,0.73794,0.95051,0,0.57407,0.66246,0.62434,0.49846,0.69125,0.52003,0.61042,0.30279,0.88515,1.56903,1.45035,1.12333,0,0.000519039,0.000519039,0.000519039
67,139.986,0.57574,0.89957,0.70883,0.9369,0,0.67003,0.62172,0.64185,0.50332,0.6609,0.60744,0.62595,0.30326,0.92946,1.61285,1.42118,1.15252,0,0.00051304,0.00051304,0.00051304
68,142.061,0.5622,0.86271,0.7059,0.94403,0,0.67062,0.63239,0.67021,0.52228,0.65928,0.61084,0.64752,0.31988,0.94484,1.60506,1.34028,1.1748,0,0.00050704,0.00050704,0.00050704
69,144.036,0.56498,0.84273,0.70569,0.93537,0,0.69728,0.6216,0.69855,0.53092,0.69253,0.6155,0.6806,0.32953,0.97706,1.59789,1.2859,1.20317,0,0.000501041,0.000501041,0.000501041
70,146.027,0.58232,0.86174,0.68935,0.94738,0,0.64487,0.74502,0.7158,0.54176,0.63682,0.7383,0.70432,0.35665,1.04466,1.52237,1.33334,1.23107,0,0.000495041,0.000495041,0.000495041
71,148.005,0.56319,0.85778,0.69729,0.92411,0,0.59179,0.74381,0.68152,0.52174,0.56487,0.71273,0.64606,0.3379,0.99277,1.49014,1.34456,1.19475,0,0.000489042,0.000489042,0.000489042
72,149.934,0.54863,0.86893,0.67109,0.95375,0,0.59005,0.75372,0.66008,0.50725,0.55336,0.6961,0.616,0.32172,0.95001,1.50221,1.33611,1.16319,0,0.000483043,0.000483043,0.000483043
73,152.044,0.58287,0.86456,0.67814,0.94358,0,0.61497,0.74427,0.65562,0.49799,0.55937,0.69629,0.60393,0.31618,0.94661,1.50103,1.32966,1.16389,0,0.000477043,0.000477043,0.000477043
