epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,386.589,0.6761,0.84105,0.9923,0.82995,0.88336,0.92605,0.8025,0.5108,0.59273,0.91577,0.000742625,0.000742625,0.000742625
43,395.706,0.65627,0.81799,0.9861,0.82762,0.90652,0.94103,0.82685,0.48649,0.53604,0.89708,0.00073025,0.00073025,0.00073025
44,404.887,0.65442,0.80808,0.98815,0.82018,0.86545,0.92837,0.79923,0.5192,0.6282,0.9074,0.000717875,0.000717875,0.000717875
45,414.078,0.64538,0.79467,0.97941,0.85705,0.84645,0.92701,0.80363,0.48357,0.58109,0.89928,0.0007055,0.0007055,0.0007055
46,423.332,0.64178,0.80143,0.99373,0.84871,0.83574,0.92486,0.82243,0.45028,0.58116,0.88426,0.000693125,0.000693125,0.000693125
47,432.472,0.63037,0.77796,0.98502,0.83544,0.85782,0.92398,0.81455,0.48805,0.60887,0.90362,0.00068075,0.00068075,0.00068075
48,441.795,0.64664,0.78495,0.98691,0.87303,0.88376,0.94218,0.83836,0.45993,0.51219,0.89388,0.000668375,0.000668375,0.000668375
49,450.823,0.62072,0.75174,0.97614,0.83031,0.87749,0.92614,0.82417,0.44759,0.53753,0.88295,0.000656,0.000656,0.000656
50,459.948,0.62926,0.76189,0.98115,0.8876,0.89251,0.95846,0.85316,0.45442,0.49185,0.88253,0.000643625,0.000643625,0.000643625
51,469.263,0.63961,0.77391,0.98338,0.88493,0.86598,0.94364,0.83387,0.48609,0.51469,0.89504,0.00063125,0.00063125,0.00063125
52,478.438,0.61665,0.75047,0.96954,0.91738,0.87494,0.95573,0.85541,0.4411,0.48183,0.87937,0.000618875,0.000618875,0.000618875
53,487.772,0.61938,0.74873,0.97178,0.87304,0.88571,0.94609,0.84446,0.44679,0.52732,0.88438,0.0006065,0.0006065,0.0006065
54,497.054,0.60397,0.72383,0.96955,0.85382,0.90137,0.9414,0.8411,0.45697,0.52087,0.88566,0.000594125,0.000594125,0.000594125
55,506.463,0.61835,0.72339,0.97253,0.90218,0.88763,0.96158,0.85768,0.44702,0.45743,0.87423,0.00058175,0.00058175,0.00058175
56,515.687,0.60222,0.71062,0.96452,0.89297,0.86999,0.95695,0.85798,0.42398,0.54348,0.87123,0.000569375,0.000569375,0.000569375
57,524.916,0.59414,0.69623,0.96199,0.9233,0.86351,0.96159,0.85728,0.43594,0.47346,0.87469,0.000557,0.000557,0.000557
58,534.411,0.59474,0.7023,0.96112,0.89679,0.91748,0.96373,0.86315,0.43474,0.44989,0.87999,0.000544625,0.000544625,0.000544625
59,543.683,0.58815,0.68266,0.95799,0.87206,0.88473,0.95395,0.84421,0.47066,0.48926,0.89693,0.00053225,0.00053225,0.00053225
60,552.774,0.5831,0.70305,0.95462,0.88287,0.91325,0.9598,0.86743,0.42157,0.45633,0.87232,0.000519875,0.000519875,0.000519875
61,562.069,0.59249,0.68318,0.9599,0.87102,0.88424,0.95606,0.85946,0.44142,0.50537,0.87867,0.0005075,0.0005075,0.0005075
62,571.359,0.58608,0.67864,0.95718,0.89384,0.92651,0.96581,0.86638,0.43806,0.45806,0.88327,0.000495125,0.000495125,0.000495125
63,581.029,0.56676,0.66855,0.94625,0.88175,0.8795,0.96464,0.86496,0.43664,0.51435,0.87956,0.00048275,0.00048275,0.00048275
64,590.194,0.57832,0.66538,0.95257,0.91368,0.91092,0.96802,0.8699,0.42735,0.44497,0.87229,0.000470375,0.000470375,0.000470375
65,599.419,0.56251,0.63918,0.94388,0.87622,0.92234,0.96688,0.87032,0.4291,0.4593,0.87638,0.000458,0.000458,0.000458
66,608.767,0.57596,0.65689,0.95182,0.91585,0.9359,0.97226,0.87969,0.41921,0.42343,0.8728,0.000445625,0.000445625,0.000445625
67,617.966,0.56337,0.63205,0.94853,0.92119,0.92715,0.97091,0.87626,0.43042,0.42003,0.87408,0.00043325,0.00043325,0.00043325
68,627.388,0.55339,0.64244,0.94701,0.90248,0.93007,0.96897,0.87342,0.4225,0.42892,0.8703,0.000420875,0.000420875,0.000420875
69,636.712,0.53935,0.61789,0.9415,0.89885,0.93784,0.9701,0.87361,0.42095,0.44734,0.87369,0.0004085,0.0004085,0.0004085
70,645.788,0.54815,0.61524,0.94381,0.84433,0.91075,0.96709,0.87673,0.42794,0.52126,0.86854,0.000396125,0.000396125,0.000396125
71,655.055,0.539,0.61511,0.93867,0.91395,0.93338,0.97054,0.88041,0.39984,0.42752,0.86275,0.00038375,0.00038375,0.00038375
72,664.508,0.5377,0.60733,0.93891,0.902,0.92272,0.96819,0.87769,0.41266,0.42293,0.86772,0.000371375,0.000371375,0.000371375
73,674.709,0.54457,0.60269,0.9452,0.92033,0.93073,0.97408,0.88256,0.41675,0.42307,0.87783,0.000359,0.000359,0.000359
74,684.745,0.54649,0.61119,0.94196,0.89449,0.92728,0.97186,0.87992,0.4137,0.45844,0.86263,0.000346625,0.000346625,0.000346625
75,695.314,0.54574,0.59969,0.93774,0.90698,0.95387,0.97527,0.89047,0.39863,0.38409,0.86073,0.00033425,0.00033425,0.00033425
76,705.345,0.52974,0.5754,0.93093,0.92257,0.94656,0.97596,0.8882,0.40608,0.40197,0.86197,0.000321875,0.000321875,0.000321875
77,714.662,0.53027,0.57835,0.93466,0.92537,0.90987,0.97112,0.88841,0.40163,0.4137,0.86069,0.0003095,0.0003095,0.0003095
78,724.06,0.51851,0.57331,0.93065,0.93971,0.93067,0.9804,0.89482,0.39428,0.37977,0.85797,0.000297125,0.000297125,0.000297125
79,734.379,0.50797,0.57083,0.92298,0.93175,0.91684,0.975,0.88734,0.38981,0.41132,0.85533,0.00028475,0.00028475,0.00028475
80,744.023,0.51549,0.57747,0.9344,0.93544,0.93085,0.97659,0.89639,0.38836,0.38564,0.8579,0.000272375,0.000272375,0.000272375
81,753.461,0.50224,0.54358,0.92026,0.92889,0.94219,0.97736,0.89567,0.38792,0.37593,0.85608,0.00026,0.00026,0.00026
82,762.805,0.50969,0.55439,0.92855,0.93755,0.92579,0.978,0.89761,0.38406,0.36386,0.85333,0.000247625,0.000247625,0.000247625
83,772,0.49018,0.54069,0.92462,0.93903,0.94323,0.97982,0.89861,0.38911,0.35687,0.85411,0.00023525,0.00023525,0.00023525
84,781.331,0.51089,0.56248,0.92997,0.91092,0.94529,0.97555,0.8951,0.38476,0.3986,0.85677,0.000222875,0.000222875,0.000222875
85,790.665,0.50679,0.55411,0.92416,0.95435,0.93204,0.98061,0.90079,0.38787,0.36107,0.85514,0.0002105,0.0002105,0.0002105
86,799.801,0.49369,0.53662,0.9248,0.92956,0.94267,0.97856,0.89823,0.38996,0.37959,0.85498,0.000198125,0.000198125,0.000198125
87,809.108,0.48819,0.53442,0.92513,0.92807,0.94348,0.98083,0.90338,0.37715,0.37293,0.8479,0.00018575,0.00018575,0.00018575
88,818.539,0.49379,0.54165,0.92627,0.93552,0.9393,0.97971,0.90206,0.37554,0.35637,0.85077,0.000173375,0.000173375,0.000173375
89,827.888,0.4926,0.5264,0.92569,0.92573,0.93886,0.98275,0.90614,0.37112,0.35622,0.8486,0.000161,0.000161,0.000161
90,837.338,0.48015,0.51314,0.91922,0.93702,0.94337,0.98101,0.90683,0.37515,0.36119,0.84989,0.000148625,0.000148625,0.000148625
91,872.01,0.35513,0.34686,0.83703,0.93619,0.93659,0.9796,0.90234,0.37328,0.34241,0.84919,0.00013625,0.00013625,0.00013625
92,881.181,0.34844,0.3282,0.83082,0.93866,0.95116,0.98241,0.90022,0.38638,0.35018,0.85276,0.000123875,0.000123875,0.000123875
93,890.458,0.34178,0.314,0.83224,0.93465,0.93237,0.979,0.89481,0.3827,0.36662,0.85146,0.0001115,0.0001115,0.0001115
94,899.508,0.34756,0.32639,0.83646,0.92417,0.95196,0.97946,0.90247,0.37714,0.35419,0.85242,9.9125e-05,9.9125e-05,9.9125e-05
95,908.562,0.34079,0.30998,0.83091,0.94612,0.93005,0.98107,0.90197,0.37776,0.37011,0.85335,8.675e-05,8.675e-05,8.675e-05
96,917.634,0.33385,0.29923,0.82931,0.93012,0.95795,0.98389,0.90476,0.36822,0.33757,0.84828,7.4375e-05,7.4375e-05,7.4375e-05
97,926.798,0.33481,0.31118,0.83043,0.94016,0.93675,0.98256,0.90438,0.36729,0.34023,0.84892,6.2e-05,6.2e-05,6.2e-05
98,935.938,0.3319,0.29838,0.83035,0.93491,0.94115,0.98158,0.90883,0.36509,0.33801,0.8464,4.9625e-05,4.9625e-05,4.9625e-05
99,945.165,0.32443,0.29135,0.82614,0.95014,0.94001,0.98363,0.90837,0.3628,0.32586,0.84725,3.725e-05,3.725e-05,3.725e-05
100,954.333,0.32075,0.28816,0.82924,0.94812,0.9499,0.98402,0.91151,0.36132,0.324,0.84579,2.4875e-05,2.4875e-05,2.4875e-05
